no,card_no,EN_name,KR_name,base_ex,dir,lo_1st,lo_2st,lo_3st,mo_1st,mo_2st,mo_3st,wo_1st,wo_2st,wo_3st
0,메이저 0,The Fool,바보,"모험, 무지(無知)",정방향,The Fool (어리석음): 연애의 초반 단계에서 무책임한 선택이 있었을 수 있습니다. 어리석은 행동으로 인해 관계가 시작될 때 문제가 생겼을 수 있습니다.,"The Fool (어리석음):해석: 연애의 현재에 어리석음이 나왔다면, 당신은 현재 상황에서 새로운 시작이나 모험을 추구하고 있습니다. 이 카드는 순수하고 무책임한 마음가짐을 나타내며, 연애에서 새로운 시작이나 새로운 관계에 대한 열림을 상징합니다. 당신은 과거의 경험에 구애받지 않고 새로운 사랑의 기회를 즐기고자 하는 태도를 가지고 있을 것입니다.다시 한 번, 이전에 누락된 부분에 대해 사과드립니다. 위의 해석은 0번 카드가 연애 관련 상황에서 나올 때의 설명을 담고 있습니다. 추가적인 질문이나 필요한 설명이 있으면 언제든지 말씀해주세요.","메이저 0 - 어리석음 (The Fool):미래에 어리석음 카드가 나온다면, 당신은 새로운 연애의 시작이나 모험을 경험하게 될 것입니다. 이 카드는 순수하고 무책임한 마음가짐을 상징하며, 새로운 사랑의 가능성을 받아들이고 새로운 관계에 대한 열림을 나타냅니다. 이것은 과거의 경험에 구애받지 않고 새로운 사랑의 기회를 즐기고자 하는 태도를 나타냅니다.",1st바보돈,2st바보돈,3st바보돈,1st바보일,2st바보일,3st바보일
1,메이저 1,The Magician,마술사,"창조, 수완",정방향,The Magician (마술사): 이전에는 연애에서 자신의 잠재력을 완전히 발휘하지 못했을 수 있습니다. 자신의 매력이나 능력을 제대로 보여주지 못한 것일 수 있습니다.,"The Magician (마술사): 해석: 연애 관계에서 현재에 마술사가 나왔다면, 당신은 현재의 연애 상황에서 자신의 능력과 자원을 적극적으로 활용하고 있습니다. 이는 당신이 연애에서 행동력이 뛰어나며, 관계를 발전시키고 변화시키는 데 주도적인 역할을 하고 있다는 것을 의미합니다. 당신은 상대방과의 관계를 조절하고 원하는 방향으로 이끌어 나가기 위해 노력하고 있을 것입니다","메이저 1 - 마법사 (The Magician):미래에 마법사 카드가 나온다면, 당신은 새로운 연애에서 자신의 힘과 창의력을 발휘할 준비가 되어 있을 것입니다. 이 카드는 새로운 연애의 시작에 필요한 적극성과 활동성을 상징하며, 당신은 자신의 목표를 향해 나아가는 데 필요한 능력과 자원을 보유하고 있습니다.",1st마술사돈,2st마술사돈,3st마술사돈,1st마술사일,2st마술사일,3st마술사일
2,메이저 2,The High Priestess,여교황,"지식, 총명",정방향,The High Priestess (여사제): 과거에는 연애 관계에서 직감력이나 내면의 지혜를 충분히 활용하지 못했을 수 있습니다. 관계의 진실을 놓치거나 무시한 적이 있을 수 있습니다.,"The High Priestess (여사제): 해석: 여사제가 연애의 현재에 나왔다면, 당신은 내면의 진실과 직감에 주의를 기울이고 있습니다. 이는 당신이 연애에서 더 깊이 있게 탐구하고, 상대방과의 관계를 깊이 이해하려는 노력을 하고 있다는 것을 의미합니다. 당신은 상대방의 감정과 당신 자신의 감정을 민감하게 인식하고, 관계의 진전에 있어서 내면의 지혜를 적극적으로 활용하고 있을 것입니다.","메이저 2 - 여사제 (The High Priestess):미래에 여사제 카드가 나온다면, 당신은 감정적인 내면 성장과 진실한 자아를 탐색하는 데 집중할 것입니다. 이 카드는 내면의 지혜와 직관을 상징하며, 연애에서는 당신이 자신의 감정을 깊이 탐구하고 상대방과의 관계에서 더 많은 깊이와 이해를 찾게 될 것임을 나타냅니다.",1st여교황돈,2st여교황돈,3st여교황돈,1st여교황일,2st여교황일,3st여교황일
3,메이저 3,The Empress,여제,"풍양, 모성",정방향,The Empress (여황제): 이전에는 연애에서 상대방을 충분히 돌봐주지 않았거나 관심을 표현하지 않았을 수 있습니다. 상호 간의 관계에서 배려와 풍요로움이 부족했을 수 있습니다.,"The Empress (여황제): 해석: 여황제가 연애의 현재에 나왔다면, 당신은 연애 관계에서 안락하고 만족스러운 시기를 보내고 있는 것으로 보입니다. 이는 연애에서 풍요롭고 안정된 에너지를 느끼고 있으며, 상대방과의 관계가 향상되고 풍요로워지고 있다는 것을 의미합니다. 당신은 상대방을 돌보고 보호하며, 서로의 사랑과 관심을 나누며 행복한 관계를 유지하고자 노력하고 있을 것입니다.","메이저 3 - 여황제 (The Empress):미래에 여황제 카드가 나온다면, 당신은 풍성한 사랑과 안락함을 경험할 것입니다. 이 카드는 풍요로운 연애의 시기를 상징하며, 당신이 나누는 사랑과 관심이 풍부하고 윤택한 관계를 만들어낼 것임을 나타냅니다.",1st여제돈,2st여제돈,3st여제돈,1st여제일,2st여제일,3st여제일
4,메이저 4,The Emperor,황제,"책임, 부성(父性)",정방향,The Emperor (황제): 이전에는 연애 관계에서 권위나 통제력을 지나치게 행사했을 수 있습니다. 상대방을 지나치게 통제하거나 제약을 가했을 수 있습니다.,"he Emperor (황제):해석: 현재의 연애 상황에서 황제가 나왔다면, 당신이 관계에서 안정적이고 지배적인 역할을 수행하고 있는 것으로 보입니다. 이는 당신이 연애에서 권위와 안정성을 중시하고, 상대방과의 관계를 조직적으로 관리하고 통제하려는 노력을 하고 있다는 것을 의미합니다. 당신은 상대방과의 관계를 건설하고 유지하는 데 중요한 역할을 하고 있을 것입니다.","메이저 4 - 황제 (The Emperor):미래에 황제 카드가 나온다면, 당신은 안정된 관계와 보호감을 찾을 것입니다. 이 카드는 권력과 안정성을 상징하며, 연애에서는 당신이나 상대방이 관계에서 지배적인 역할을 맡게 될 수 있음을 나타냅니다. 이는 상호 존중과 보호에 기반한 안정적이고 견고한 연애를 의미합니다.",1st황제돈,2st황제돈,3st황제돈,1st황제일,2st황제일,3st황제일
5,메이저 5,The Hierophant,교황,"가르침, 관대함",정방향,The Hierophant (교황): 연애에서는 전통이나 사회적 기대에 맞추려고 했을 수 있습니다. 상대방이나 관계에 대한 전통적인 기대에 너무 많은 중요성을 두었을 수 있습니다.,"The Hierophant (교황): 해석: 연애의 현재에 교황이 나왔다면, 당신은 현재 상황에서 관습적이고 전통적인 가치관이나 규칙에 따라 행동하고 있을 것입니다. 이 카드는 관계나 연애에서 안정성과 신뢰를 중요시하는 경향을 나타내며, 현재의 관계에서는 상대방과의 신뢰를 쌓고 근본적인 가치에 대한 이해를 중시하고 있을 것입니다.","메이저 5 - 교황 (The Hierophant):미래에 교황 카드가 나온다면, 당신은 전통적인 가치관과 안정성을 중시하는 연애를 경험하게 될 것입니다. 이 카드는 관습적인 가치관이나 규칙을 상징하며, 당신이나 상대방이 관계에서 신뢰와 안정성을 찾는 중이라는 것을 나타냅니다.",1st교황돈,2st교황돈,3st교황돈,1st교황일,2st교황일,3st교황일
6,메이저 6,The Lovers,연인,"연애, 쾌락",정방향,The Lovers (연인들): 연애의 선택에서 어려움이 있었을 수 있습니다. 과거에는 사랑을 찾거나 관계를 유지하는 데 어려움이 있었을 수 있습니다.,"The Lovers (연인들): 해석: 연애의 현재에 연인들이 나왔다면, 당신은 현재의 관계에서 사랑과 결합에 대한 중요한 결정을 내리고 있는 중입니다. 이 카드는 사랑과 연애의 선택을 상징하며, 당신과 상대방 사이의 관계가 더 깊어지고 결속이 강화되는 중이라는 것을 나타냅니다.","메이저 6 - 연인들 (The Lovers):미래에 연인들 카드가 나온다면, 당신은 사랑과 결합에 대한 중요한 결정을 내리게 될 것입니다. 이 카드는 사랑과 결합을 상징하며, 당신과 상대방 사이의 관계가 더 깊어지고 결속이 강화되는 중임을 나타냅니다.",1st연인돈,2st연인돈,3st연인돈,1st연인일,2st연인일,3st연인일
7,메이저 7,The Chariot,전차,"전진, 승리",정방향,The Chariot (전차): 과거에는 연애에서 목표를 향해 나아가는 데 어려움이 있었을 수 있습니다. 관계에서의 방황이나 목적의 부재가 있었을 수 있습니다.,"The Chariot (전차):해석: 연애의 현재에 전차가 나왔다면, 당신은 현재 상황에서 힘차게 전진하고 있습니다. 이 카드는 자신의 목표를 향해 나아가는 데 필요한 힘과 결단력을 상징하며, 당신과 상대방이 함께 어려움을 극복하고 성공을 향해 달려가는 중이라는 것을 나타냅니다.","메이저 7 - 전차 (The Chariot):미래에 전차 카드가 나온다면, 당신은 상황을 통제하고 목표를 향해 나아가는 데 성공할 것입니다. 이 카드는 힘찬 진전과 결단력을 상징하며, 당신이나 상대방이 어려움을 극복하고 성공을 향해 나아가는 중임을 나타냅니다.",1st전차돈,2st전차돈,3st전차돈,1st전차일,2st전차일,3st전차일
8,메이저 8,Strength,힘,"힘, 용기",정방향,Strength (힘): 이전에는 연애 관계에서 내면의 힘을 충분히 발휘하지 못했을 수 있습니다. 어려운 상황에서 자신의 강인함을 보여주지 못했을 수 있습니다.,"Strength (힘): 해석: 연애의 현재에 힘이 나왔다면, 당신은 현재의 관계에서 용기와 인내심을 발휘하고 있습니다. 이 카드는 자신의 감정을 통제하고 상대방과의 관계에서 자제력을 발휘할 준비가 되어 있다는 것을 나타내며, 당신과 상대방 사이의 갈등이나 어려움을 극복할 수 있는 힘을 가지고 있음을 상징합니다.","메이저 8 - 힘 (Strength):미래에 힘 카드가 나온다면, 당신은 강인함과 용기를 발휘하여 어려운 상황을 극복할 것입니다. 이 카드는 자제력과 용기를 상징하며, 당신이나 상대방이 갈등이나 어려움을 극복할 수 있는 힘을 가지고 있음을 나타냅니다.",1st힘돈,2st힘돈,3st힘돈,1st힘일,2st힘일,3st힘일
9,메이저 9,The Hermit,은둔자,"탐색, 사려깊음",정방향,The Hermit (은둔자): 연애에서는 자기 발견이나 내면의 탐구에 충분한 시간을 할애하지 못했을 수 있습니다. 혼자서 고립되거나 외로움을 느꼈을 수 있습니다.,"Strength (힘):해석: 연애의 현재에 힘이 나왔다면, 당신은 현재의 관계에서 용기와 인내심을 발휘하고 있습니다. 이 카드는 자신의 감정을 통제하고 상대방과의 관계에서 자제력을 발휘할 준비가 되어 있다는 것을 나타내며, 당신과 상대방 사이의 갈등이나 어려움을 극복할 수 있는 힘을 가지고 있음을 상징합니다.","메이저 9 - 의인 (The Hermit):미래에 의인 카드가 나온다면, 당신은 내면 성장과 깊은 사유를 통해 자아를 발견할 것입니다. 이 카드는 내적 탐구와 혼자서의 시간을 상징하며, 연애에서는 당신이나 상대방이 자신의 내면을 탐구하고 깊은 연결을 형성하려는 노력을 나타냅니다.",1st은둔자돈,2st은둔자돈,3st은둔자돈,1st은둔자일,2st은둔자일,3st은둔자일
